7656,,,,
city,latitude,longitude,address,services
Alexandria Virginia 22301,38.82126,-77.063159,Potomac Yards,24/7;breakfast
Alexandria Virginia 22302,38.820255,-77.050559,DCA - Wash Nat'l-Reagan-Level 1,cold brew;drive thru
Alexandria Virginia 22302,38.82821,-77.084959,Bradlee Center,breakfast
Alexandria Virginia 22302,38.82821,-77.084959,Target Skyline T-1893,cold brew;24/7
Alexandria Virginia 22306,38.764479,-77.077426,Mt. Vernon Plaza,drive thru;24/7;breakfast;cold brew
Alexandria Virginia 22306,38.77162,-77.069934,Beacon Mall,cold brew;breakfast;drive thru
Alexandria Virginia 22309,38.725854,-77.107278,Safeway-Alexandria #1283,24/7;cold brew
Alexandria Virginia 223115800,38.804581,-77.043083,Mark Shops,breakfast;drive thru
Alexandria Virginia 22312,38.826967,-77.167407,Pinecrest,drive thru
Alexandria Virginia 22314,38.805605,-77.051089,King - Union,breakfast
Alexandria Virginia 22314,38.81577,-77.044609,North Washington Center,drive thru
Alexandria Virginia 22315,38.759539,-77.148551,Safeway-Alexandria #1847,cold brew
Alexandria Virginia 22331,38.804565,-77.043079,Hoffman,drive thru
Algonquin Illinois 60102,42.162871,-88.309761,Super Target Algonquin ST-1801,breakfast;drive thru
Alhambra California 91801,34.078545,-118.122464,Valley - Almansor  Alhambra,drive thru;24/7;breakfast
Alhambra California 91801,34.099355,-118.131184,Main - 1st - Alhambra,24/7
Alhambra California 918015115,34.093689,-118.127289,Garfield - Valley  Alhambra,drive thru;breakfast;cold brew;24/7
Alhambra California 91803,34.07293,-118.145444,Fremont Ave - Mission Rd,breakfast
Aliso Viejo California 92653,33.601723,-117.690361,Aliso Viejo,cold brew;24/7;drive thru
Allen Park Michigan 48101,42.228335,-83.229864,Allen Park,24/7;breakfast
Allen Park Michigan 48101,42.256859,-83.213079,Target Allen Park T-2033,cold brew
Allen Texas 75002,33.09701,-96.631044,Kroger-Allen #544,drive thru;cold brew;breakfast
Allen Texas 75013,33.101735,-96.672599,McDermott - Central Exprwy,cold brew;breakfast;drive thru
Allen Texas 75013,33.113085,-96.672339,Hwy 75 - Bethany,drive thru;24/7
Aloha Oregon 97006,45.494012,-122.868626,Tanasbourne,breakfast;cold brew;drive thru
Alpharetta Georgia 30004,34.06619,-84.309407,Kroger-Alpharetta #415,24/7;drive thru;cold brew
Alpharetta Georgia 30004,34.06619,-84.309407,Kroger-Alpharetta #444,drive thru;24/7;breakfast
Alpharetta Georgia 30004,34.06619,-84.309407,Kroger-Alpharetta #495,cold brew;drive thru;24/7;breakfast
Alpharetta Georgia 30004,34.11526,-84.288929,Bethany - Hwy 9,24/7;breakfast
Alpharetta Georgia 30004,34.156372,-84.223822,Windward Pkwy  Hwy 9,24/7;cold brew
Alpharetta Georgia 30005,34.063602,-84.219095,Old Milton Pkwy  State Bridge,breakfast;cold brew;24/7;drive thru
Alpharetta Georgia 300057449,34.075371,-84.294533,The Terraces  Winward,24/7;breakfast;drive thru
Alpharetta Georgia 30022,34.021318,-84.268527,Alpharetta Crossing,breakfast;drive thru
Alpharetta Georgia 30022,34.021318,-84.268527,Haynes Bridge Village,drive thru;breakfast
Alpharetta Georgia 30022,34.021318,-84.268527,Holcomb Br.  Barnwell,drive thru;breakfast
Alpharetta Georgia 30022,34.021318,-84.268527,Northpoint Mall,breakfast;24/7;cold brew;drive thru
Alpharetta Georgia 30022,34.031041,-84.251146,Alpharetta Barnes - Noble,24/7;breakfast;drive thru;cold brew
Alpharetta Georgia 300223006,34.036324,-84.343643,Target Alpharetta T-970,cold brew;24/7;drive thru;breakfast
Alpharetta Georgia 30201,34.040285,-84.331259,Mansell Point,cold brew;drive thru;breakfast
Altamonte Springs Florida 32714,28.673515,-81.396828,434 - Orange,24/7;drive thru;breakfast
Altoona Iowa 50317,41.60989,-93.553642,Target-Altoona T-1939,drive thru;breakfast
Amarillo Texas 791064602,35.259117,-101.81086,Albertsons-Amarillo #4203,breakfast;drive thru;cold brew;24/7
Amarillo Texas 79109,35.207255,-101.833894,Georgia St. - Austin,cold brew;24/7;breakfast;drive thru
Amarillo Texas 79124,35.191425,-101.939469,Soncy Rd - I-40,cold brew
American Canyon California 94503,38.171385,-122.25249,Safeway-American Canyon #1883,drive thru;breakfast
American Canyon California 94503,38.201414,-122.25606,American Canyon - Highway 29,drive thru;cold brew
American Fork Utah 84003,40.37782,-111.797479,American Fork-Salt Lake,drive thru
Ames Iowa 50010,42.035695,-93.614739,Hy Vee Foods-Ames #2,24/7
Ames Iowa 50014,42.02567,-93.664849,Hy Vee Foods-Ames #1,cold brew;drive thru;breakfast
Amherst Massachusetts 01002,42.391071,-72.411889,Amherst,24/7;drive thru
Amherst New York 14221,42.96513,-78.675329,Williamsville Place,breakfast;cold brew
Amherst New York 14226,42.97839,-78.799989,University Plaza,drive thru;cold brew;breakfast;24/7
Amherst New York 14228,43.022327,-78.796889,The Commons  Buffalo Univ.,cold brew;breakfast
Amherst New York 14228,43.029705,-78.799314,Niagara Blvd,cold brew;breakfast
Amherst Ohio 44001,41.40929,-82.238999,Middle Ridge Travel Plaza,drive thru;24/7;breakfast
Amherst Ohio 44001,41.40929,-82.238999,Vermillion Valley,drive thru
Anacortes Washington 98221,48.49381,-122.632879,Food Pavilion - Anacortes,breakfast;24/7;drive thru;cold brew
